id,x_studio_charge_name,x_studio_charge_group,x_active,x_studio_sequence,x_studio_rfq_charge_header_id/id,x_studio_structure_no,x_studio_basis,x_studio_percent,x_studio_amount,x_studio_company_id/id
import_rfq_charge_li_id_12314,Clearing,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5558,2,Fixed Per Document,0.0,60.22501654533422,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12315,Freight & Ex work,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5559,3,Fixed Per Document,0.0,120.45003309066844,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12316,Insurance,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5560,4,Fixed Per Document,0.0,150.56254136333555,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12317,Misc,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5561,5,Fixed Per Document,0.0,180.67504963600265,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12318,Sup.Bank Charge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5562,6,Fixed Per Document,0.0,271.012574454004,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12319,Pallet Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5563,7,Fixed Per Document,0.0,240.90006618133688,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12320,Document Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5564,8,Fixed Per Document,0.0,90.33752481800133,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12321,Other,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5565,9,Fixed Per Document,0.0,210.78755790866975,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12322,CID,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5566,10,Percentage,0.0,78834.20251489081,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12323,EIC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5567,11,Percentage,0.0,15766.84050297816,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12324,ESC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5568,12,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12325,Excise,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5569,13,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12326,PAL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5570,14,Percentage,0.0,29562.825943084048,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12327,RIDL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5571,15,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12328,SRL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5572,16,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12329,Surcharge,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5573,17,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12330,NBT,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5574,18,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12331,NBT-N,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5575,19,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12332,VAT-on-Item,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5576,20,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12333,VAT-on-GL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5577,21,Percentage,0.0,100395.35690271344,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12334,SSCL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5578,22,Percentage,0.0,13943.799569821313,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12335,BankCharge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5557,1,Fixed Per Document,0.0,49.63600264725348,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12336,Clearing,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5558,2,Fixed Per Document,0.0,99.27200529450695,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12337,Freight & Ex work,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5559,3,Fixed Per Document,0.0,198.5440105890139,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12338,Insurance,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5560,4,Fixed Per Document,0.0,248.18001323626737,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12339,Misc,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5561,5,Fixed Per Document,0.0,297.81601588352083,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12340,Sup.Bank Charge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5562,6,Fixed Per Document,0.0,446.7240238252813,seed_master_data_and_settings.company_jinasena_agricultural_machinery
